start,end,text,file
75.03,75.49,um,ES2008d.A.words.xml
75.49,76.45,last,ES2008d.A.words.xml
76.45,76.55,the,ES2008d.A.words.xml
76.55,76.86,last,ES2008d.A.words.xml
76.86,77.36,one,ES2008d.A.words.xml
77.36,77.36,",",ES2008d.A.words.xml
77.36,77.42,oh,ES2008d.A.words.xml
77.42,77.47,I,ES2008d.A.words.xml
77.47,77.64,don't,ES2008d.A.words.xml
77.64,77.73,have,ES2008d.A.words.xml
77.73,77.79,it,ES2008d.A.words.xml
77.79,78.36,here,ES2008d.A.words.xml
78.36,78.68,um,ES2008d.A.words.xml
78.68,78.68,",",ES2008d.A.words.xml
78.68,78.84,but,ES2008d.A.words.xml
78.84,78.94,we,ES2008d.A.words.xml
78.94,79.26,talked,ES2008d.A.words.xml
79.26,79.49,about,ES2008d.A.words.xml
79.49,79.83,energy,ES2008d.A.words.xml
79.83,79.83,",",ES2008d.A.words.xml
79.83,79.94,we're,ES2008d.A.words.xml
79.94,80.09,gonna,ES2008d.A.words.xml
80.09,80.24,use,ES2008d.A.words.xml
80.24,80.29,a,ES2008d.A.words.xml
80.29,80.7,kinetic,ES2008d.A.words.xml
80.7,81.81,battery,ES2008d.A.words.xml
81.81,82.36,um,ES2008d.A.words.xml
82.36,82.36,",",ES2008d.A.words.xml
82.36,82.56,we,ES2008d.A.words.xml
82.56,82.78,want,ES2008d.A.words.xml
82.78,82.86,to,ES2008d.A.words.xml
82.86,83.03,use,ES2008d.A.words.xml
83.03,83.09,a,ES2008d.A.words.xml
83.09,83.49,simple,ES2008d.A.words.xml
83.49,83.94,chip,ES2008d.A.words.xml
83.94,83.94,",",ES2008d.A.words.xml
83.94,84.26,because,ES2008d.A.words.xml
84.26,84.36,we're,ES2008d.A.words.xml
84.36,84.48,not,ES2008d.A.words.xml
84.48,84.68,gonna,ES2008d.A.words.xml
84.68,84.88,need,ES2008d.A.words.xml
84.88,84.99,a,ES2008d.A.words.xml
84.99,85.11,a,ES2008d.A.words.xml
85.11,85.81,shuffle,ES2008d.A.words.xml
85.81,86.6,um,ES2008d.A.words.xml
86.6,86.6,",",ES2008d.A.words.xml
86.6,86.69,we're,ES2008d.A.words.xml
86.69,86.81,gonna,ES2008d.A.words.xml
86.81,86.97,need,ES2008d.A.words.xml
86.97,87.01,a,ES2008d.A.words.xml
87.01,87.94,scroll,ES2008d.A.words.xml
87.94,88.39,um,ES2008d.A.words.xml
88.39,88.39,",",ES2008d.A.words.xml
88.39,88.5,we're,ES2008d.A.words.xml
88.5,88.86,choosing,ES2008d.A.words.xml
88.86,88.93,a,ES2008d.A.words.xml
88.93,89.61,latex,ES2008d.A.words.xml
89.61,90.61,case,ES2008d.A.words.xml
90.61,90.74,w,ES2008d.A.words.xml
90.74,90.91,in,ES2008d.A.words.xml
90.91,91.23,fruity,ES2008d.A.words.xml
91.23,91.78,colours,ES2008d.A.words.xml
91.78,91.95,that's,ES2008d.A.words.xml
91.95,93.53,curved,ES2008d.A.words.xml
93.53,95.1,and,ES2008d.A.words.xml
95.1,95.32,um,ES2008d.A.words.xml
95.32,95.44,we're,ES2008d.A.words.xml
95.44,95.7,using,ES2008d.A.words.xml
95.7,96.02,push,ES2008d.A.words.xml
96.02,97.6,buttons,ES2008d.A.words.xml
97.6,97.64,uh,ES2008d.A.words.xml
97.64,97.89,with,ES2008d.A.words.xml
97.89,98.08,a,ES2008d.A.words.xml
98.08,98.52,supplement,ES2008d.A.words.xml
98.52,98.61,of,ES2008d.A.words.xml
98.61,98.7,an,ES2008d.A.words.xml
98.7,99.34,on-screen,ES2008d.A.words.xml
99.34,99.76,menu,ES2008d.A.words.xml
99.76,99.76,.,ES2008d.A.words.xml
100.88,100.97,And,ES2008d.A.words.xml
100.97,101.04,it,ES2008d.A.words.xml
101.04,101.32,sounded,ES2008d.A.words.xml
101.32,101.5,like,ES2008d.A.words.xml
101.5,101.63,we,ES2008d.A.words.xml
101.63,101.76,had,ES2008d.A.words.xml
101.76,102.3,set,ES2008d.A.words.xml
102.3,103.16,um,ES2008d.A.words.xml
103.16,103.33,like,ES2008d.A.words.xml
103.33,103.55,eight,ES2008d.A.words.xml
103.55,103.64,or,ES2008d.A.words.xml
103.64,103.96,nine,ES2008d.A.words.xml
103.96,104.9,buttons,ES2008d.A.words.xml
104.9,104.9,",",ES2008d.A.words.xml
104.9,105.39,including,ES2008d.A.words.xml
105.39,105.71,five,ES2008d.A.words.xml
105.71,106.06,pre-set,ES2008d.A.words.xml
106.06,106.82,channels,ES2008d.A.words.xml
106.82,106.82,.,ES2008d.A.words.xml
107.74,108.59,Okay,ES2008d.A.words.xml
108.59,108.59,?,ES2008d.A.words.xml
108.59,108.8,Let's,ES2008d.A.words.xml
108.8,108.95,do,ES2008d.A.words.xml
108.95,109.11,the,ES2008d.A.words.xml
109.11,109.4,look,ES2008d.A.words.xml
109.4,109.54,and,ES2008d.A.words.xml
109.54,109.84,feel,ES2008d.A.words.xml
109.84,110.21,design,ES2008d.A.words.xml
110.21,110.87,presentation,ES2008d.A.words.xml
110.87,111.37,first,ES2008d.A.words.xml
111.37,111.37,.,ES2008d.A.words.xml
187.95,188.12,like,ES2008d.A.words.xml
188.12,188.17,a,ES2008d.A.words.xml
188.17,188.39,little,ES2008d.A.words.xml
188.39,188.74,lightning,ES2008d.A.words.xml
188.74,188.84,in,ES2008d.A.words.xml
188.84,189.04,it,ES2008d.A.words.xml
189.04,189.04,.,ES2008d.A.words.xml
189.89,190.0,The,ES2008d.A.words.xml
190.0,190.22,little,ES2008d.A.words.xml
190.22,190.56,lightning,ES2008d.A.words.xml
190.56,190.82,bolt,ES2008d.A.words.xml
190.82,190.93,in,ES2008d.A.words.xml
190.93,191.12,it,ES2008d.A.words.xml
191.12,191.12,",",ES2008d.A.words.xml
191.12,191.4,very,ES2008d.A.words.xml
191.4,191.86,cute,ES2008d.A.words.xml
191.86,191.86,.,ES2008d.A.words.xml
194.28,194.38,The,ES2008d.A.words.xml
194.38,194.62,v,ES2008d.A.words.xml
194.62,195.24,the,ES2008d.A.words.xml
195.24,195.97,rhombus,ES2008d.A.words.xml
195.97,196.86,rhombus,ES2008d.A.words.xml
196.86,196.86,?,ES2008d.A.words.xml
255.27,255.57,Um,ES2008d.A.words.xml
255.57,255.76,on,ES2008d.A.words.xml
255.76,255.76,",",ES2008d.A.words.xml
255.76,256.15,off,ES2008d.A.words.xml
256.15,256.15,?,ES2008d.A.words.xml
260.41,261.21,Okay,ES2008d.A.words.xml
261.21,261.21,.,ES2008d.A.words.xml
262.73,262.85,Yeah,ES2008d.A.words.xml
262.85,262.91,we,ES2008d.A.words.xml
262.91,263.18,turn,ES2008d.A.words.xml
263.18,263.26,it,ES2008d.A.words.xml
263.26,263.62,off,ES2008d.A.words.xml
263.62,263.62,.,ES2008d.A.words.xml
272.77,273.16,Mm-hmm,ES2008d.A.words.xml
273.16,273.16,.,ES2008d.A.words.xml
282.77,283.06,Okay,ES2008d.A.words.xml
283.06,283.06,.,ES2008d.A.words.xml
321.74,322.13,Uh-huh,ES2008d.A.words.xml
322.13,322.13,.,ES2008d.A.words.xml
332.09,332.47,Very,ES2008d.A.words.xml
332.47,333.49,interesting,ES2008d.A.words.xml
333.49,333.49,.,ES2008d.A.words.xml
333.49,334.74,I,ES2008d.A.words.xml
334.74,334.89,think,ES2008d.A.words.xml
334.89,335.01,that,ES2008d.A.words.xml
335.01,335.16,one's,ES2008d.A.words.xml
335.16,335.29,my,ES2008d.A.words.xml
335.29,335.99,favourite,ES2008d.A.words.xml
335.99,335.99,.,ES2008d.A.words.xml
360.88,362.02,Mm-hmm,ES2008d.A.words.xml
362.02,362.02,.,ES2008d.A.words.xml
382.0,382.09,Mm,ES2008d.A.words.xml
382.09,382.43,'kay,ES2008d.A.words.xml
382.43,382.43,.,ES2008d.A.words.xml
391.93,392.02,Now,ES2008d.A.words.xml
392.02,392.2,that,ES2008d.A.words.xml
392.2,392.38,was,ES2008d.A.words.xml
392.38,392.59,one,ES2008d.A.words.xml
392.59,392.75,thing,ES2008d.A.words.xml
392.75,392.93,that,ES2008d.A.words.xml
392.93,393.12,we,ES2008d.A.words.xml
393.12,393.28,brought,ES2008d.A.words.xml
393.28,393.45,up,ES2008d.A.words.xml
393.45,393.67,over,ES2008d.A.words.xml
393.67,394.04,email,ES2008d.A.words.xml
394.04,394.04,.,ES2008d.A.words.xml
394.04,394.07,I,ES2008d.A.words.xml
394.07,394.22,don't,ES2008d.A.words.xml
394.22,394.3,know,ES2008d.A.words.xml
394.3,394.43,if,ES2008d.A.words.xml
394.43,394.52,you,ES2008d.A.words.xml
394.52,394.74,picked,ES2008d.A.words.xml
394.74,394.84,up,ES2008d.A.words.xml
394.84,394.94,your,ES2008d.A.words.xml
394.94,395.32,email,ES2008d.A.words.xml
395.32,395.32,",",ES2008d.A.words.xml
395.32,395.54,but,ES2008d.A.words.xml
395.54,395.89,um,ES2008d.A.words.xml
395.89,396.0,the,ES2008d.A.words.xml
396.0,396.29,f,ES2008d.A.words.xml
396.29,396.75,the,ES2008d.A.words.xml
396.75,397.05,um,ES2008d.A.words.xml
397.05,397.29,feature,ES2008d.A.words.xml
397.29,397.39,that,ES2008d.A.words.xml
397.39,397.47,we,ES2008d.A.words.xml
397.47,398.42,considered,ES2008d.A.words.xml
398.42,398.63,for,ES2008d.A.words.xml
398.63,398.72,it,ES2008d.A.words.xml
398.72,398.91,not,ES2008d.A.words.xml
398.91,399.19,getting,ES2008d.A.words.xml
399.19,399.77,lost,ES2008d.A.words.xml
399.77,399.77,.,ES2008d.A.words.xml
413.68,414.06,Mm-hmm,ES2008d.A.words.xml
414.06,414.06,.,ES2008d.A.words.xml
419.75,419.95,It's,ES2008d.A.words.xml
419.95,420.45,really,ES2008d.A.words.xml
421.58,421.73,Would,ES2008d.A.words.xml
421.73,421.83,it,ES2008d.A.words.xml
421.83,422.19,be,ES2008d.A.words.xml
422.19,422.48,very,ES2008d.A.words.xml
422.48,422.98,difficult,ES2008d.A.words.xml
422.98,423.32,to,ES2008d.A.words.xml
423.32,423.62,um,ES2008d.A.words.xml
423.62,423.83,just,ES2008d.A.words.xml
423.83,424.05,have,ES2008d.A.words.xml
424.05,424.15,an,ES2008d.A.words.xml
424.15,424.87,external,ES2008d.A.words.xml
424.87,425.37,device,ES2008d.A.words.xml
425.37,425.54,that,ES2008d.A.words.xml
425.54,425.8,like,ES2008d.A.words.xml
425.8,425.88,I,ES2008d.A.words.xml
425.88,426.09,dunno,ES2008d.A.words.xml
426.09,426.09,",",ES2008d.A.words.xml
426.09,426.48,you,ES2008d.A.words.xml
426.48,426.81,tape,ES2008d.A.words.xml
426.81,426.9,to,ES2008d.A.words.xml
426.9,427.74,your,ES2008d.A.words.xml
427.74,427.86,to,ES2008d.A.words.xml
427.86,427.98,your,ES2008d.A.words.xml
427.98,428.45,T_V_,ES2008d.A.words.xml
428.45,428.85,um,ES2008d.A.words.xml
428.85,429.03,that,ES2008d.A.words.xml
429.03,429.14,when,ES2008d.A.words.xml
429.14,429.23,you,ES2008d.A.words.xml
429.23,429.55,press,ES2008d.A.words.xml
429.55,430.01,it,ES2008d.A.words.xml
430.01,430.11,you,ES2008d.A.words.xml
430.11,430.26,ha,ES2008d.A.words.xml
430.26,430.39,a,ES2008d.A.words.xml
430.39,430.68,little,ES2008d.A.words.xml
430.68,430.94,light,ES2008d.A.words.xml
430.94,431.28,beep,ES2008d.A.words.xml
431.28,431.56,goes,ES2008d.A.words.xml
431.56,432.08,off,ES2008d.A.words.xml
432.08,432.08,?,ES2008d.A.words.xml
432.8,432.87,Do,ES2008d.A.words.xml
432.87,432.93,you,ES2008d.A.words.xml
432.93,433.06,think,ES2008d.A.words.xml
433.06,433.21,that,ES2008d.A.words.xml
433.21,433.32,would,ES2008d.A.words.xml
433.32,434.46,be,ES2008d.A.words.xml
434.46,434.99,conceptually,ES2008d.A.words.xml
434.99,435.69,possible,ES2008d.A.words.xml
435.69,435.69,?,ES2008d.A.words.xml
438.53,439.03,Mm-hmm,ES2008d.A.words.xml
439.03,439.03,.,ES2008d.A.words.xml
448.4,449.24,Mm,ES2008d.A.words.xml
449.24,449.24,.,ES2008d.A.words.xml
451.01,451.23,That's,ES2008d.A.words.xml
451.23,451.64,true,ES2008d.A.words.xml
451.64,451.64,",",ES2008d.A.words.xml
451.64,452.36,mm,ES2008d.A.words.xml
452.36,452.99,'kay,ES2008d.A.words.xml
452.99,452.99,.,ES2008d.A.words.xml
472.75,473.21,Mm-hmm,ES2008d.A.words.xml
473.21,473.21,.,ES2008d.A.words.xml
474.64,475.86,Okay,ES2008d.A.words.xml
475.86,475.86,",",ES2008d.A.words.xml
475.86,476.1,that's,ES2008d.A.words.xml
476.1,476.46,a,ES2008d.A.words.xml
476.46,476.67,fair,ES2008d.A.words.xml
476.67,478.18,evaluation,ES2008d.A.words.xml
478.18,478.18,.,ES2008d.A.words.xml
478.18,478.85,Getting,ES2008d.A.words.xml
478.85,479.65,lost,ES2008d.A.words.xml
479.65,479.65,.,ES2008d.A.words.xml
479.65,479.86,Um,ES2008d.A.words.xml
479.86,480.03,we,ES2008d.A.words.xml
480.03,480.19,so,ES2008d.A.words.xml
480.19,480.3,we,ES2008d.A.words.xml
480.3,480.42,do,ES2008d.A.words.xml
480.42,480.65,we've,ES2008d.A.words.xml
480.65,481.12,decided,ES2008d.A.words.xml
481.12,481.39,not,ES2008d.A.words.xml
481.39,481.53,to,ES2008d.A.words.xml
481.53,481.73,worry,ES2008d.A.words.xml
481.73,481.96,about,ES2008d.A.words.xml
481.96,482.24,that,ES2008d.A.words.xml
482.24,482.41,for,ES2008d.A.words.xml
482.41,482.61,now,ES2008d.A.words.xml
482.61,482.61,.,ES2008d.A.words.xml
483.77,483.96,Okay,ES2008d.A.words.xml
483.96,484.31,'cause,ES2008d.A.words.xml
484.31,484.51,well,ES2008d.A.words.xml
484.51,484.51,",",ES2008d.A.words.xml
484.51,484.58,the,ES2008d.A.words.xml
484.58,484.93,designs,ES2008d.A.words.xml
484.93,484.99,are,ES2008d.A.words.xml
484.99,485.2,very,ES2008d.A.words.xml
485.2,485.5,bright,ES2008d.A.words.xml
485.5,485.5,",",ES2008d.A.words.xml
485.5,485.63,so,ES2008d.A.words.xml
485.63,485.75,you're,ES2008d.A.words.xml
485.75,485.94,right,ES2008d.A.words.xml
485.94,485.94,",",ES2008d.A.words.xml
485.94,486.04,they're,ES2008d.A.words.xml
486.04,486.21,gonna,ES2008d.A.words.xml
486.21,486.44,stick,ES2008d.A.words.xml
486.44,487.45,out,ES2008d.A.words.xml
487.45,487.45,",",ES2008d.A.words.xml
487.45,487.66,but,ES2008d.A.words.xml
487.66,487.98,um,ES2008d.A.words.xml
518.98,519.45,Mm-hmm,ES2008d.A.words.xml
519.45,519.45,.,ES2008d.A.words.xml
530.4,530.56,Could,ES2008d.A.words.xml
530.56,530.64,we,ES2008d.A.words.xml
530.64,530.88,maybe,ES2008d.A.words.xml
530.88,531.05,have,ES2008d.A.words.xml
531.05,531.19,like,ES2008d.A.words.xml
531.19,531.26,an,ES2008d.A.words.xml
531.26,531.53,extra,ES2008d.A.words.xml
531.53,531.74,button,ES2008d.A.words.xml
531.74,531.83,on,ES2008d.A.words.xml
531.83,531.89,the,ES2008d.A.words.xml
531.89,532.12,top,ES2008d.A.words.xml
532.12,532.32,for,ES2008d.A.words.xml
532.32,532.51,on,ES2008d.A.words.xml
532.51,533.43,off,ES2008d.A.words.xml
533.43,533.43,?,ES2008d.A.words.xml
533.43,533.55,So,ES2008d.A.words.xml
533.55,533.68,then,ES2008d.A.words.xml
533.68,533.8,w,ES2008d.A.words.xml
533.8,533.92,we,ES2008d.A.words.xml
533.92,534.26,wouldn't,ES2008d.A.words.xml
534.26,534.39,have,ES2008d.A.words.xml
534.39,534.45,to,ES2008d.A.words.xml
534.45,534.54,have,ES2008d.A.words.xml
534.54,534.63,like,ES2008d.A.words.xml
534.63,534.66,a,ES2008d.A.words.xml
534.66,534.86,dual,ES2008d.A.words.xml
534.86,535.26,function,ES2008d.A.words.xml
535.26,535.26,?,ES2008d.A.words.xml
540.15,540.59,Sure,ES2008d.A.words.xml
540.59,540.59,.,ES2008d.A.words.xml
542.67,543.36,Um,ES2008d.A.words.xml
543.36,543.83,uh,ES2008d.A.words.xml
543.83,543.94,why,ES2008d.A.words.xml
543.94,544.08,don't,ES2008d.A.words.xml
544.08,544.17,we,ES2008d.A.words.xml
544.17,544.33,do,ES2008d.A.words.xml
544.33,544.41,a,ES2008d.A.words.xml
544.41,544.74,product,ES2008d.A.words.xml
544.74,545.21,evaluation,ES2008d.A.words.xml
545.21,545.43,using,ES2008d.A.words.xml
545.43,545.55,your,ES2008d.A.words.xml
545.55,546.19,criteria,ES2008d.A.words.xml
546.19,546.19,",",ES2008d.A.words.xml
546.19,546.28,if,ES2008d.A.words.xml
546.28,546.44,you've,ES2008d.A.words.xml
546.44,546.83,developed,ES2008d.A.words.xml
546.83,547.26,some,ES2008d.A.words.xml
547.26,547.26,?,ES2008d.A.words.xml
550.71,550.82,Oh,ES2008d.A.words.xml
550.82,551.96,okay,ES2008d.A.words.xml
551.96,551.96,.,ES2008d.A.words.xml
551.96,552.19,Okay,ES2008d.A.words.xml
552.19,552.19,.,ES2008d.A.words.xml
557.66,557.97,Okay,ES2008d.A.words.xml
557.97,557.97,.,ES2008d.A.words.xml
559.48,559.54,Do,ES2008d.A.words.xml
559.54,559.6,you,ES2008d.A.words.xml
559.6,559.76,need,ES2008d.A.words.xml
559.76,560.04,this,ES2008d.A.words.xml
560.04,560.35,or,ES2008d.A.words.xml
560.35,560.67,just,ES2008d.A.words.xml
560.67,560.86,write,ES2008d.A.words.xml
560.86,560.94,on,ES2008d.A.words.xml
560.94,561.01,the,ES2008d.A.words.xml
561.01,561.18,white,ES2008d.A.words.xml
561.18,561.92,board,ES2008d.A.words.xml
561.92,561.92,?,ES2008d.A.words.xml
564.07,564.32,Okay,ES2008d.A.words.xml
564.32,564.32,.,ES2008d.A.words.xml
570.19,570.31,It's,ES2008d.A.words.xml
570.31,570.47,kind,ES2008d.A.words.xml
570.47,570.56,of,ES2008d.A.words.xml
570.56,570.74,like,ES2008d.A.words.xml
570.74,571.02,uh,ES2008d.A.words.xml
571.02,571.15,like,ES2008d.A.words.xml
571.15,571.21,a,ES2008d.A.words.xml
571.21,571.68,joystick,ES2008d.A.words.xml
571.68,571.85,kind,ES2008d.A.words.xml
571.85,571.91,of,ES2008d.A.words.xml
571.91,572.24,thing,ES2008d.A.words.xml
572.24,572.24,",",ES2008d.A.words.xml
572.24,572.32,you,ES2008d.A.words.xml
572.32,573.25,know,ES2008d.A.words.xml
573.25,573.25,",",ES2008d.A.words.xml
573.25,573.4,kinda,ES2008d.A.words.xml
573.4,573.58,push,ES2008d.A.words.xml
573.58,575.19,it,ES2008d.A.words.xml
575.19,575.19,.,ES2008d.A.words.xml
577.85,578.01,'Kay,ES2008d.A.words.xml
578.01,578.01,.,ES2008d.A.words.xml
579.8,579.97,Maybe,ES2008d.A.words.xml
579.97,580.03,a,ES2008d.A.words.xml
580.03,580.18,little,ES2008d.A.words.xml
580.18,580.57,smaller,ES2008d.A.words.xml
580.57,580.68,than,ES2008d.A.words.xml
580.68,581.31,that,ES2008d.A.words.xml
581.31,581.31,.,ES2008d.A.words.xml
585.37,585.49,Oh,ES2008d.A.words.xml
585.49,585.62,it,ES2008d.A.words.xml
585.62,585.97,does,ES2008d.A.words.xml
585.97,585.97,",",ES2008d.A.words.xml
585.97,586.09,it's,ES2008d.A.words.xml
586.09,586.3,kind,ES2008d.A.words.xml
586.3,586.45,of,ES2008d.A.words.xml
586.45,586.7,like,ES2008d.A.words.xml
596.03,596.2,There,ES2008d.A.words.xml
596.2,596.28,it,ES2008d.A.words.xml
596.28,596.38,could,ES2008d.A.words.xml
596.38,596.56,have,ES2008d.A.words.xml
596.56,596.71,a,ES2008d.A.words.xml
596.71,596.96,stem,ES2008d.A.words.xml
596.96,597.1,like,ES2008d.A.words.xml
597.1,597.25,that,ES2008d.A.words.xml
597.25,597.25,",",ES2008d.A.words.xml
597.25,597.38,'cause,ES2008d.A.words.xml
597.38,597.42,I,ES2008d.A.words.xml
597.42,597.59,do,ES2008d.A.words.xml
597.59,597.69,l,ES2008d.A.words.xml
597.69,597.89,kind,ES2008d.A.words.xml
597.89,597.98,of,ES2008d.A.words.xml
597.98,598.14,like,ES2008d.A.words.xml
598.14,598.25,the,ES2008d.A.words.xml
598.25,598.9,stem,ES2008d.A.words.xml
598.9,598.9,.,ES2008d.A.words.xml
602.68,602.97,Yeah,ES2008d.A.words.xml
602.97,602.97,.,ES2008d.A.words.xml
604.12,604.22,It,ES2008d.A.words.xml
604.22,604.45,almost,ES2008d.A.words.xml
604.45,604.6,helps,ES2008d.A.words.xml
604.6,604.69,you,ES2008d.A.words.xml
604.69,604.92,ge,ES2008d.A.words.xml
604.92,605.12,keep,ES2008d.A.words.xml
605.12,605.19,a,ES2008d.A.words.xml
605.19,605.51,grip,ES2008d.A.words.xml
605.51,605.98,too,ES2008d.A.words.xml
605.98,605.98,",",ES2008d.A.words.xml
605.98,606.11,'cause,ES2008d.A.words.xml
606.11,606.19,it,ES2008d.A.words.xml
606.19,606.37,goes,ES2008d.A.words.xml
606.37,606.49,in,ES2008d.A.words.xml
606.49,606.74,between,ES2008d.A.words.xml
606.74,607.39,fingers,ES2008d.A.words.xml
607.39,607.39,.,ES2008d.A.words.xml
608.46,608.49,I,ES2008d.A.words.xml
608.49,608.63,like,ES2008d.A.words.xml
608.63,608.78,this,ES2008d.A.words.xml
608.78,608.98,one,ES2008d.A.words.xml
608.98,608.98,.,ES2008d.A.words.xml
610.24,610.61,Variety,ES2008d.A.words.xml
610.61,610.7,of,ES2008d.A.words.xml
610.7,611.09,colours,ES2008d.A.words.xml
611.09,611.14,are,ES2008d.A.words.xml
611.14,611.53,nice,ES2008d.A.words.xml
611.53,611.53,.,ES2008d.A.words.xml
613.52,613.6,I,ES2008d.A.words.xml
613.6,613.79,think,ES2008d.A.words.xml
613.79,613.95,I'm,ES2008d.A.words.xml
613.95,614.14,leaning,ES2008d.A.words.xml
614.14,614.36,towards,ES2008d.A.words.xml
614.36,614.42,the,ES2008d.A.words.xml
614.42,614.87,potato,ES2008d.A.words.xml
614.87,614.87,.,ES2008d.A.words.xml
618.32,619.51,Mm-hmm,ES2008d.A.words.xml
619.51,619.51,.,ES2008d.A.words.xml
619.51,619.67,I,ES2008d.A.words.xml
619.67,619.8,am,ES2008d.A.words.xml
619.8,620.08,worried,ES2008d.A.words.xml
620.08,620.3,about,ES2008d.A.words.xml
620.3,620.62,like,ES2008d.A.words.xml
620.62,620.92,um,ES2008d.A.words.xml
620.92,621.23,using,ES2008d.A.words.xml
621.23,621.29,a,ES2008d.A.words.xml
621.29,621.82,menu,ES2008d.A.words.xml
621.82,621.82,.,ES2008d.A.words.xml
622.99,624.13,Um,ES2008d.A.words.xml
624.13,624.37,in,ES2008d.A.words.xml
624.37,625.68,that,ES2008d.A.words.xml
625.68,626.29,like,ES2008d.A.words.xml
626.29,626.45,i,ES2008d.A.words.xml
626.45,626.72,withing,ES2008d.A.words.xml
626.72,627.04,menus,ES2008d.A.words.xml
627.04,627.15,there,ES2008d.A.words.xml
627.15,627.22,are,ES2008d.A.words.xml
627.22,628.4,submenus,ES2008d.A.words.xml
628.4,628.4,",",ES2008d.A.words.xml
628.4,628.51,and,ES2008d.A.words.xml
628.51,628.6,so,ES2008d.A.words.xml
628.6,628.81,how,ES2008d.A.words.xml
