sample_id,reference_city,reference_country,reference_lat,reference_lon,target_city,target_country,actual_distance,distance_range,min_distance,max_distance
sample_028,Managua,Nicaragua,12.154962,-86.270438,Praia,Cape Verde,6769.33,6000.0-10000.0km,6000.0,10000.0
sample_029,Asmara,Eritrea,15.333339,38.933324,Taipei,Taiwan,8568.78,6000.0-10000.0km,6000.0,10000.0
sample_030,Moscow,Russia,55.75411,37.613577,Havana,Cuba,9585.61,6000.0-10000.0km,6000.0,10000.0
sample_031,Manila,Philippines,14.606105,120.980271,Suva,Fiji,7273.04,6000.0-10000.0km,6000.0,10000.0
sample_032,New Delhi,India,28.600023,77.19998,Mbabane,eSwatini,7839.23,6000.0-10000.0km,6000.0,10000.0
sample_033,Kingston,Jamaica,17.977077,-76.767434,Stockholm,Sweden,8565.45,6000.0-10000.0km,6000.0,10000.0
sample_034,Niamey,Niger,13.518652,2.11471,Kathmandu,Nepal,8655.42,6000.0-10000.0km,6000.0,10000.0
sample_035,Nicosia,Cyprus,35.166677,33.366635,Praia,Cape Verde,6066.91,6000.0-10000.0km,6000.0,10000.0
sample_036,Ankara,Turkey,39.929184,32.862446,Santo Domingo,Dominican Republic,9735.66,6000.0-10000.0km,6000.0,10000.0
sample_037,Luxembourg,Luxembourg,49.61166,6.130003,Vientiane,Laos,8948.31,6000.0-10000.0km,6000.0,10000.0
sample_038,Beijing,China,39.930838,116.38634,Warsaw,Poland,6937.49,6000.0-10000.0km,6000.0,10000.0
sample_039,Tegucigalpa,Honduras,14.103991,-87.219475,Accra,Ghana,9535.13,6000.0-10000.0km,6000.0,10000.0
sample_040,Rome,Italy,41.897902,12.481313,Beijing,China,8123.2,6000.0-10000.0km,6000.0,10000.0
sample_041,Kigali,Rwanda,-1.951644,30.058586,Singapore,Singapore,8212.31,6000.0-10000.0km,6000.0,10000.0
sample_042,Kampala,Uganda,0.318605,32.581378,Tallinn,Estonia,6608.67,6000.0-10000.0km,6000.0,10000.0
sample_043,Wellington,New Zealand,-41.299988,174.783266,Vientiane,Laos,9911.52,6000.0-10000.0km,6000.0,10000.0
sample_044,Rome,Italy,41.897902,12.481313,Caracas,Venezuela,8355.86,6000.0-10000.0km,6000.0,10000.0
sample_045,N'Djamena,Chad,12.115042,15.047203,Hamilton,Bermuda,8344.72,6000.0-10000.0km,6000.0,10000.0
sample_046,Helsinki,Finland,60.177509,24.932181,Paramaribo,Suriname,8898.06,6000.0-10000.0km,6000.0,10000.0
sample_047,Victoria,Seychelles,-4.616632,55.44999,Bern,Switzerland,7407.03,6000.0-10000.0km,6000.0,10000.0
sample_048,Brasília,Brazil,-15.781394,-47.917998,Rabat,Morocco,7040.98,6000.0-10000.0km,6000.0,10000.0
sample_049,Georgetown,Guyana,6.801974,-58.167029,Kyiv,Ukraine,9331.87,6000.0-10000.0km,6000.0,10000.0
sample_050,Libreville,Gabon,0.385389,9.457965,Ashgabat,Turkmenistan,6506.88,6000.0-10000.0km,6000.0,10000.0
sample_051,Monaco,Monaco,43.739646,7.406913,Georgetown,Guyana,7534.16,6000.0-10000.0km,6000.0,10000.0
sample_052,Jerusalem,Israel,31.778408,35.206626,Pretoria,South Africa,6434.65,6000.0-10000.0km,6000.0,10000.0
sample_053,Chișinău,Moldova,47.005024,28.857711,Harare,Zimbabwe,7211.07,6000.0-10000.0km,6000.0,10000.0
sample_054,Kingston,Jamaica,17.977077,-76.767434,Conakry,Guinea,6848.8,6000.0-10000.0km,6000.0,10000.0
sample_055,Kyiv,Ukraine,50.435313,30.514682,Pretoria,South Africa,8469.41,6000.0-10000.0km,6000.0,10000.0
sample_056,Manama,Bahrain,26.236136,50.583052,Manila,Philippines,7367.08,6000.0-10000.0km,6000.0,10000.0
sample_057,Palikir,Federated States of Micronesia,6.916644,158.149974,Colombo,Sri Lanka,8630.23,6000.0-10000.0km,6000.0,10000.0
sample_058,Harare,Zimbabwe,-17.815844,31.042764,Kabul,Afghanistan,7079.43,6000.0-10000.0km,6000.0,10000.0
sample_059,Budapest,Hungary,47.501952,19.081375,Lilongwe,Malawi,6991.46,6000.0-10000.0km,6000.0,10000.0
sample_060,Amman,Jordan,31.951971,35.931354,Bloemfontein,South Africa,6867.8,6000.0-10000.0km,6000.0,10000.0
sample_061,Caracas,Venezuela,10.502944,-66.918983,København,Denmark,8386.13,6000.0-10000.0km,6000.0,10000.0
sample_062,Kampala,Uganda,0.318605,32.581378,Naypyidaw,Myanmar,7237.23,6000.0-10000.0km,6000.0,10000.0
sample_063,Rabat,Morocco,34.025307,-6.836408,Islamabad,Pakistan,7174.26,6000.0-10000.0km,6000.0,10000.0
sample_064,Tunis,Tunisia,36.802778,10.179678,Santo Domingo,Dominican Republic,7928.16,6000.0-10000.0km,6000.0,10000.0
sample_065,Manila,Philippines,14.606105,120.980271,Nicosia,Cyprus,8866.27,6000.0-10000.0km,6000.0,10000.0
sample_066,Jakarta,Indonesia,-6.172472,106.827492,Damascus,Syria,8614.04,6000.0-10000.0km,6000.0,10000.0
sample_067,Nassau,The Bahamas,25.08339,-77.350044,Dakar,Senegal,6317.52,6000.0-10000.0km,6000.0,10000.0
sample_068,Palikir,Federated States of Micronesia,6.916644,158.149974,Nur-Sultan,Kazakhstan,9180.76,6000.0-10000.0km,6000.0,10000.0
sample_069,Sucre,Bolivia,-19.040971,-65.259516,Yaoundé,Cameroon,8765.2,6000.0-10000.0km,6000.0,10000.0
sample_070,Bucharest,Romania,44.435318,26.098001,Vientiane,Laos,7562.02,6000.0-10000.0km,6000.0,10000.0
sample_071,Mbabane,eSwatini,-26.316651,31.133335,København,Denmark,9286.69,6000.0-10000.0km,6000.0,10000.0
sample_072,Dili,East Timor,-8.559388,125.579456,Muscat,Oman,8102.3,6000.0-10000.0km,6000.0,10000.0
sample_073,Tehran,Iran,35.673889,51.422398,Maseru,Lesotho,7648.76,6000.0-10000.0km,6000.0,10000.0
sample_074,Asunción,Paraguay,-25.294457,-57.643451,Maseru,Lesotho,8224.84,6000.0-10000.0km,6000.0,10000.0
sample_075,Nicosia,Cyprus,35.166677,33.366635,"Washington,  D.C.",United States of America,9111.61,6000.0-10000.0km,6000.0,10000.0
sample_076,Santo Domingo,Dominican Republic,18.472019,-69.902031,Paris,France,7182.58,6000.0-10000.0km,6000.0,10000.0
sample_077,Seoul,South Korea,37.568295,126.997785,Damascus,Syria,7875.31,6000.0-10000.0km,6000.0,10000.0
sample_078,Lomé,Togo,6.133883,1.220811,Bridgetown,Barbados,6700.27,6000.0-10000.0km,6000.0,10000.0
sample_079,Luanda,Angola,-8.83634,13.232481,Lima,Peru,9833.85,6000.0-10000.0km,6000.0,10000.0
sample_080,Cape Town,South Africa,-33.918065,18.433042,Kathmandu,Nepal,9823.5,6000.0-10000.0km,6000.0,10000.0
sample_081,Kingstown,Saint Vincent and the Grenadines,13.148279,-61.212062,Ankara,Turkey,9414.55,6000.0-10000.0km,6000.0,10000.0
sample_082,Amsterdam,Netherlands,52.351915,4.914694,Gaborone,Botswana,8801.87,6000.0-10000.0km,6000.0,10000.0
sample_083,Rabat,Morocco,34.025307,-6.836408,Montevideo,Uruguay,9219.59,6000.0-10000.0km,6000.0,10000.0
sample_084,Ankara,Turkey,39.929184,32.862446,Tokyo,Japan,8766.95,6000.0-10000.0km,6000.0,10000.0
sample_085,Kingstown,Saint Vincent and the Grenadines,13.148279,-61.212062,Podgorica,Montenegro,8249.83,6000.0-10000.0km,6000.0,10000.0
sample_086,Asmara,Eritrea,15.333339,38.933324,Singapore,Singapore,7283.51,6000.0-10000.0km,6000.0,10000.0
sample_087,Malé,Maldives,4.166708,73.499948,Accra,Ghana,8164.08,6000.0-10000.0km,6000.0,10000.0
sample_088,Jerusalem,Israel,31.778408,35.206626,Hamilton,Bermuda,9005.09,6000.0-10000.0km,6000.0,10000.0
sample_089,Rome,Italy,41.897902,12.481313,San José,Costa Rica,9807.55,6000.0-10000.0km,6000.0,10000.0
sample_090,Gaborone,Botswana,-24.646314,25.911948,Vilnius,Lithuania,8821.24,6000.0-10000.0km,6000.0,10000.0
sample_091,Vaduz,Liechtenstein,47.133724,9.51667,Malé,Maldives,7723.58,6000.0-10000.0km,6000.0,10000.0
sample_092,Bucharest,Romania,44.435318,26.098001,Cape Town,South Africa,8746.92,6000.0-10000.0km,6000.0,10000.0
sample_093,Dushanbe,Tajikistan,38.560035,68.773879,Maseru,Lesotho,8678.59,6000.0-10000.0km,6000.0,10000.0
sample_094,Manila,Philippines,14.606105,120.980271,Hargeisa,Somaliland,8345.56,6000.0-10000.0km,6000.0,10000.0
sample_095,Port Moresby,Papua New Guinea,-9.464708,147.192504,Colombo,Sri Lanka,7678.54,6000.0-10000.0km,6000.0,10000.0
sample_096,Luanda,Angola,-8.83634,13.232481,Port-of-Spain,Trinidad and Tobago,8548.32,6000.0-10000.0km,6000.0,10000.0
sample_097,Sofia,Bulgaria,42.685295,23.314708,Caracas,Venezuela,9237.09,6000.0-10000.0km,6000.0,10000.0
sample_098,Riyadh,Saudi Arabia,24.642779,46.770796,Pyongyang,North Korea,7403.27,6000.0-10000.0km,6000.0,10000.0
sample_099,Andorra,Andorra,42.500001,1.516486,Antananarivo,Madagascar,8295.4,6000.0-10000.0km,6000.0,10000.0
sample_100,Praia,Cape Verde,14.916698,-23.516689,Windhoek,Namibia,6075.85,6000.0-10000.0km,6000.0,10000.0
