sample_id,reference_city,reference_country,reference_lat,reference_lon,target_city,target_country,actual_distance,distance_range,min_distance,max_distance
sample_018,New Delhi,India,28.600023,77.19998,Manila,Philippines,4755.4,1000.0-5000.0km,1000.0,5000.0
sample_019,Yerevan,Armenia,40.183097,44.511606,Khartoum,Sudan,2970.47,1000.0-5000.0km,1000.0,5000.0
sample_020,Maputo,Mozambique,-25.953332,32.587217,Windhoek,Namibia,1614.92,1000.0-5000.0km,1000.0,5000.0
sample_021,Dushanbe,Tajikistan,38.560035,68.773879,Tbilisi,Georgia,2061.98,1000.0-5000.0km,1000.0,5000.0
sample_022,Pristina,Kosovo,42.66671,21.165984,Yamoussoukro,Ivory Coast,4754.8,1000.0-5000.0km,1000.0,5000.0
sample_023,Bangkok,Thailand,13.751945,100.514699,Melekeok,Palau,3788.68,1000.0-5000.0km,1000.0,5000.0
sample_024,Nicosia,Cyprus,35.166677,33.366635,São Tomé,Sao Tome and Principe,4755.86,1000.0-5000.0km,1000.0,5000.0
sample_025,Honiara,Solomon Islands,-9.437994,159.949766,Port Moresby,Papua New Guinea,1399.21,1000.0-5000.0km,1000.0,5000.0
sample_026,Monaco,Monaco,43.739646,7.406913,Lomé,Togo,4225.05,1000.0-5000.0km,1000.0,5000.0
sample_027,Praia,Cape Verde,14.916698,-23.516689,Georgetown,Guyana,3884.53,1000.0-5000.0km,1000.0,5000.0
sample_028,Bamako,Mali,12.651961,-8.001985,Bujumbura,Burundi,4494.88,1000.0-5000.0km,1000.0,5000.0
sample_029,Moscow,Russia,55.75411,37.613577,Sanaa,Yemen,4527.13,1000.0-5000.0km,1000.0,5000.0
sample_030,Manila,Philippines,14.606105,120.980271,Singapore,Singapore,2393.85,1000.0-5000.0km,1000.0,5000.0
sample_031,New Delhi,India,28.600023,77.19998,Jerusalem,Israel,4026.86,1000.0-5000.0km,1000.0,5000.0
sample_032,Kingston,Jamaica,17.977077,-76.767434,Managua,Nicaragua,1207.89,1000.0-5000.0km,1000.0,5000.0
sample_033,Niamey,Niger,13.518652,2.11471,Malabo,Equatorial Guinea,1309.93,1000.0-5000.0km,1000.0,5000.0
sample_034,San Marino,San Marino,43.936096,12.44177,Tripoli,Libya,1229.66,1000.0-5000.0km,1000.0,5000.0
sample_035,Freetown,Sierra Leone,8.471957,-13.236162,Kigali,Rwanda,4937.18,1000.0-5000.0km,1000.0,5000.0
sample_036,Luxembourg,Luxembourg,49.61166,6.130003,Manama,Bahrain,4589.15,1000.0-5000.0km,1000.0,5000.0
sample_037,Beijing,China,39.930838,116.38634,Tashkent,Uzbekistan,3928.19,1000.0-5000.0km,1000.0,5000.0
sample_038,Tegucigalpa,Honduras,14.103991,-87.219475,Havana,Cuba,1126.49,1000.0-5000.0km,1000.0,5000.0
sample_039,Rome,Italy,41.897902,12.481313,Vilnius,Lithuania,1703.79,1000.0-5000.0km,1000.0,5000.0
sample_040,Nur-Sultan,Kazakhstan,51.181125,71.427774,Berlin,Germany,3879.31,1000.0-5000.0km,1000.0,5000.0
sample_041,Mbabane,eSwatini,-26.316651,31.133335,Bujumbura,Burundi,2557.87,1000.0-5000.0km,1000.0,5000.0
sample_042,Rome,Italy,41.897902,12.481313,Kuwait City,Kuwait,3465.71,1000.0-5000.0km,1000.0,5000.0
sample_043,N'Djamena,Chad,12.115042,15.047203,Dakar,Senegal,3526.54,1000.0-5000.0km,1000.0,5000.0
sample_044,Banjul,The Gambia,13.453877,-16.591702,Monaco,Monaco,4070.14,1000.0-5000.0km,1000.0,5000.0
sample_045,Moscow,Russia,55.75411,37.613577,Ashgabat,Turkmenistan,2512.02,1000.0-5000.0km,1000.0,5000.0
sample_046,Brasília,Brazil,-15.781394,-47.917998,Castries,Saint Lucia,3610.45,1000.0-5000.0km,1000.0,5000.0
sample_047,Georgetown,Guyana,6.801974,-58.167029,Roseau,Dominica,1008.14,1000.0-5000.0km,1000.0,5000.0
sample_048,Libreville,Gabon,0.385389,9.457965,Ankara,Turkey,4995.3,1000.0-5000.0km,1000.0,5000.0
sample_049,Monaco,Monaco,43.739646,7.406913,London,United Kingdom,1029.87,1000.0-5000.0km,1000.0,5000.0
sample_050,Sanaa,Yemen,15.356679,44.204648,Mbabane,eSwatini,4844.59,1000.0-5000.0km,1000.0,5000.0
sample_051,Chișinău,Moldova,47.005024,28.857711,Rome,Italy,1414.99,1000.0-5000.0km,1000.0,5000.0
sample_052,Kingston,Jamaica,17.977077,-76.767434,Basseterre,Saint Kitts and Nevis,1490.41,1000.0-5000.0km,1000.0,5000.0
sample_053,Kyiv,Ukraine,50.435313,30.514682,Paris,France,2024.14,1000.0-5000.0km,1000.0,5000.0
sample_054,Manama,Bahrain,26.236136,50.583052,Baku,Azerbaijan,1576.06,1000.0-5000.0km,1000.0,5000.0
sample_055,Harare,Zimbabwe,-17.815844,31.042764,Asmara,Eritrea,3786.1,1000.0-5000.0km,1000.0,5000.0
sample_056,Budapest,Hungary,47.501952,19.081375,London,United Kingdom,1451.12,1000.0-5000.0km,1000.0,5000.0
sample_057,Caracas,Venezuela,10.502944,-66.918983,Bogota,Colombia,1026.88,1000.0-5000.0km,1000.0,5000.0
sample_058,Kampala,Uganda,0.318605,32.581378,Gaborone,Botswana,2867.41,1000.0-5000.0km,1000.0,5000.0
sample_059,Rabat,Morocco,34.025307,-6.836408,Praia,Cape Verde,2705.17,1000.0-5000.0km,1000.0,5000.0
sample_060,Yamoussoukro,Ivory Coast,6.818381,-5.275503,Pristina,Kosovo,4754.8,1000.0-5000.0km,1000.0,5000.0
sample_061,Belmopan,Belize,17.252034,-88.767073,Georgetown,Guyana,3518.26,1000.0-5000.0km,1000.0,5000.0
sample_062,Montevideo,Uruguay,-34.856096,-56.172998,Asunción,Paraguay,1072.54,1000.0-5000.0km,1000.0,5000.0
sample_063,Belgrade,Serbia,44.820591,20.466045,Asmara,Eritrea,3709.38,1000.0-5000.0km,1000.0,5000.0
sample_064,Nassau,The Bahamas,25.08339,-77.350044,Santo Domingo,Dominican Republic,1063.41,1000.0-5000.0km,1000.0,5000.0
sample_065,Palikir,Federated States of Micronesia,6.916644,158.149974,Taipei,Taiwan,4376.12,1000.0-5000.0km,1000.0,5000.0
sample_066,Sucre,Bolivia,-19.040971,-65.259516,San Salvador,El Salvador,4488.02,1000.0-5000.0km,1000.0,5000.0
sample_067,Bucharest,Romania,44.435318,26.098001,Moscow,Russia,1498.62,1000.0-5000.0km,1000.0,5000.0
sample_068,Suva,Fiji,-18.133016,178.441707,Palikir,Federated States of Micronesia,3566.12,1000.0-5000.0km,1000.0,5000.0
sample_069,Victoria,Seychelles,-4.616632,55.44999,Kampala,Uganda,2598.87,1000.0-5000.0km,1000.0,5000.0
sample_070,Tehran,Iran,35.673889,51.422398,Bern,Switzerland,3822.15,1000.0-5000.0km,1000.0,5000.0
sample_071,Vientiane,Laos,17.966693,102.59998,Kathmandu,Nepal,2073.19,1000.0-5000.0km,1000.0,5000.0
sample_072,Asunción,Paraguay,-25.294457,-57.643451,Brasília,Brazil,1463.16,1000.0-5000.0km,1000.0,5000.0
sample_073,Santo Domingo,Dominican Republic,18.472019,-69.902031,Havana,Cuba,1394.67,1000.0-5000.0km,1000.0,5000.0
sample_074,Pyongyang,North Korea,39.021385,125.752745,Dhaka,Bangladesh,3729.82,1000.0-5000.0km,1000.0,5000.0
sample_075,Castries,Saint Lucia,14.001974,-61.000008,Kingston,Jamaica,1741.62,1000.0-5000.0km,1000.0,5000.0
sample_076,Port-of-Spain,Trinidad and Tobago,10.651997,-61.517031,Nassau,The Bahamas,2315.51,1000.0-5000.0km,1000.0,5000.0
sample_077,Cape Town,South Africa,-33.918065,18.433042,Kampala,Uganda,4083.27,1000.0-5000.0km,1000.0,5000.0
sample_078,Tallinn,Estonia,59.433877,24.728041,Rome,Italy,2124.5,1000.0-5000.0km,1000.0,5000.0
sample_079,Muscat,Oman,23.613325,58.593312,Sofia,Bulgaria,3866.61,1000.0-5000.0km,1000.0,5000.0
sample_080,Georgetown,Guyana,6.801974,-58.167029,Santo Domingo,Dominican Republic,1816.14,1000.0-5000.0km,1000.0,5000.0
sample_081,Kingstown,Saint Vincent and the Grenadines,13.148279,-61.212062,Nouakchott,Mauritania,4863.93,1000.0-5000.0km,1000.0,5000.0
sample_082,Yerevan,Armenia,40.183097,44.511606,Valletta,Malta,2656.65,1000.0-5000.0km,1000.0,5000.0
sample_083,Asmara,Eritrea,15.333339,38.933324,Ashgabat,Turkmenistan,3157.25,1000.0-5000.0km,1000.0,5000.0
sample_084,Rome,Italy,41.897902,12.481313,Dushanbe,Tajikistan,4706.97,1000.0-5000.0km,1000.0,5000.0
sample_085,Malé,Maldives,4.166708,73.499948,Addis Ababa,Ethiopia,3880.07,1000.0-5000.0km,1000.0,5000.0
sample_086,Rome,Italy,41.897902,12.481313,Tripoli,Libya,1003.24,1000.0-5000.0km,1000.0,5000.0
sample_087,Hamilton,Bermuda,32.29419,-64.783937,Mexico City,Mexico,3701.08,1000.0-5000.0km,1000.0,5000.0
sample_088,Rome,Italy,41.897902,12.481313,Kabul,Afghanistan,4930.99,1000.0-5000.0km,1000.0,5000.0
sample_089,Vaduz,Liechtenstein,47.133724,9.51667,Bangui,Central African Republic,4834.04,1000.0-5000.0km,1000.0,5000.0
sample_090,Wellington,New Zealand,-41.299988,174.783266,Tarawa,Kiribati,4744.5,1000.0-5000.0km,1000.0,5000.0
sample_091,Rabat,Morocco,34.025307,-6.836408,Praia,Cape Verde,2705.17,1000.0-5000.0km,1000.0,5000.0
sample_092,Dushanbe,Tajikistan,38.560035,68.773879,Vientiane,Laos,3990.24,1000.0-5000.0km,1000.0,5000.0
sample_093,Accra,Ghana,5.551981,-0.218662,Bloemfontein,South Africa,4780.81,1000.0-5000.0km,1000.0,5000.0
sample_094,Ouagadougou,Burkina Faso,12.372262,-1.52667,Athens,Greece,3790.94,1000.0-5000.0km,1000.0,5000.0
sample_095,Vientiane,Laos,17.966693,102.59998,Tokyo,Japan,4144.53,1000.0-5000.0km,1000.0,5000.0
sample_096,Buenos Aires,Argentina,-34.600556,-58.399477,Asunción,Paraguay,1037.34,1000.0-5000.0km,1000.0,5000.0
sample_097,Rabat,Morocco,34.025307,-6.836408,Minsk,Belarus,3473.45,1000.0-5000.0km,1000.0,5000.0
sample_098,Asunción,Paraguay,-25.294457,-57.643451,Port-of-Spain,Trinidad and Tobago,4019.04,1000.0-5000.0km,1000.0,5000.0
sample_099,Ashgabat,Turkmenistan,37.949995,58.383299,Kabul,Afghanistan,1040.11,1000.0-5000.0km,1000.0,5000.0
sample_100,Nassau,The Bahamas,25.08339,-77.350044,Saint George's,Grenada,2188.35,1000.0-5000.0km,1000.0,5000.0
