sample_id,actual_length,image_path,ascii_line
sample_039,0.37,0.1_0.5/sample_038_0.37.png,"('|----=----=----                          |', '|-------------=-----------------~--------|')"
sample_040,0.28,0.1_0.5/sample_039_0.28.png,"('|- ----.----                             |', '|---------------- -----------------=-----|')"
sample_041,0.15,0.1_0.5/sample_040_0.15.png,"('|- =---                                  |', '| =--------------------------------------|')"
sample_042,0.3,0.1_0.5/sample_041_0.3.png,"('|--~--------=                            |', '|-- ---------------------=---------------|')"
sample_043,0.11,0.1_0.5/sample_042_0.11.png,"('|.--                                     |', '|-----=---- -----------------------------|')"
sample_044,0.46,0.1_0.5/sample_043_0.46.png,"('|------- -------.--                      |', '|~-----------.---------------------------|')"
sample_045,0.2,0.1_0.5/sample_044_0.2.png,"('|-~-=----                                |', '|--------=----------------------------- -|')"
sample_046,0.37,0.1_0.5/sample_045_0.37.png,"('| - -----------                          |', '|-------------------------=--- ----------|')"
sample_047,0.22,0.1_0.5/sample_046_0.22.png,"('|--- ---=                                |', '|-------------------- -----------=-------|')"
sample_048,0.31,0.1_0.5/sample_047_0.31.png,"('|---.------~-                            |', '|-------------------- ----------------~--|')"
sample_049,0.32,0.1_0.5/sample_048_0.32.png,"('|-=---- -----                            |', '|------------------------------.~--------|')"
sample_050,0.17,0.1_0.5/sample_049_0.17.png,"('|~-~---                                  |', '|----------------------------- -- -------|')"
sample_051,0.49,0.1_0.5/sample_050_0.49.png,"('|--------------..---                     |', '|------ ------------.--------------------|')"
sample_052,0.41,0.1_0.5/sample_051_0.41.png,"('|-----------~-~--                        |', '|---------------------------=---- -------|')"
sample_053,0.48,0.1_0.5/sample_052_0.48.png,"('|-.-----~-----------                     |', '|.---=-----------------------------------|')"
sample_054,0.46,0.1_0.5/sample_053_0.46.png,"('|-------------.--.-                      |', '|-------------------------------~----=---|')"
sample_055,0.34,0.1_0.5/sample_054_0.34.png,"('|--------.--~-                           |', '|---------------------------~--------.---|')"
sample_056,0.47,0.1_0.5/sample_055_0.47.png,"('|--------~-.-------                      |', '|-~-------------- -----------------------|')"
sample_057,0.14,0.1_0.5/sample_056_0.14.png,"('|--~-~                                   |', '|--------.--- ---------------------------|')"
sample_058,0.18,0.1_0.5/sample_057_0.18.png,"('|~--=---                                 |', '|-------~------------------.-------------|')"
sample_059,0.12,0.1_0.5/sample_058_0.12.png,"('|=-~-                                    |', '|--------------------~------ ------------|')"
sample_060,0.23,0.1_0.5/sample_059_0.23.png,"('|-- -----                                |', '|---------------------------=-----------.|')"
sample_061,0.26,0.1_0.5/sample_060_0.26.png,"('|-~------.-                              |', '|-----------------=-----------=----------|')"
sample_062,0.21,0.1_0.5/sample_061_0.21.png,"('|----.--~                                |', '|----~------------.----------------------|')"
sample_063,0.43,0.1_0.5/sample_062_0.43.png,"('|-.--- -----------                       |', '|-----------~------------------------~---|')"
sample_064,0.24,0.1_0.5/sample_063_0.24.png,"('|----- =--                               |', '|---------------- ----------~------------|')"
sample_065,0.21,0.1_0.5/sample_064_0.21.png,"('|---.-~--                                |', '|.-----------------------.---------------|')"
sample_066,0.32,0.1_0.5/sample_065_0.32.png,"('|------- ---.                            |', '|-------------------------=-------- -----|')"
sample_067,0.16,0.1_0.5/sample_066_0.16.png,"('|.----=                                  |', '|------------------~-------------------- |')"
sample_068,0.42,0.1_0.5/sample_067_0.42.png,"('|----- -------.--                        |', '|--------------~-------------------------|')"
sample_069,0.13,0.1_0.5/sample_068_0.13.png,"('|--~=-                                   |', '|~--------------------------------------~|')"
sample_070,0.49,0.1_0.5/sample_069_0.49.png,"('|----.-----------~--                     |', '|----------.---------------------.-------|')"
sample_071,0.41,0.1_0.5/sample_070_0.41.png,"('|-=----.---------                        |', '|----------=--------------~--------------|')"
sample_072,0.18,0.1_0.5/sample_071_0.18.png,"('|--- --                                  |', '|--------~--------~----------------------|')"
sample_073,0.1,0.1_0.5/sample_072_0.1.png,"('|-=-=                                    |', '|.----------------------------------.----|')"
sample_074,0.43,0.1_0.5/sample_073_0.43.png,"('|----~-----------                        |', '|----------------------- -------------~--|')"
sample_075,0.38,0.1_0.5/sample_074_0.38.png,"('|--.--------=---                         |', '|-----------=--------------~-------------|')"
sample_076,0.39,0.1_0.5/sample_075_0.39.png,"('|--=-----=------                         |', '|--------------------------.------ ------|')"
sample_077,0.41,0.1_0.5/sample_076_0.41.png,"('|--=----------.--                        |', '|---------------.------------- ----------|')"
sample_078,0.13,0.1_0.5/sample_077_0.13.png,"('| .---                                   |', '|------------------.-------------------- |')"
sample_079,0.24,0.1_0.5/sample_078_0.24.png,"('|~------~-                               |', '|------=---------------------------.-----|')"
sample_080,0.15,0.1_0.5/sample_079_0.15.png,"('|-- --~                                  |', '|----.---------------------------- ------|')"
sample_081,0.45,0.1_0.5/sample_080_0.45.png,"('|-- ----.----------                      |', '|-------------~------------.-------------|')"
sample_082,0.35,0.1_0.5/sample_081_0.35.png,"('|---.-------=--                          |', '|------=--=------------------------------|')"
sample_083,0.23,0.1_0.5/sample_082_0.23.png,"('|- -----~-                               |', '| -------------------------~-------------|')"
sample_084,0.13,0.1_0.5/sample_083_0.13.png,"('| -=--                                   |', '|---------------.----------=-------------|')"
sample_085,0.22,0.1_0.5/sample_084_0.22.png,"('|.-------                                |', '| --------------------------------------~|')"
sample_086,0.23,0.1_0.5/sample_085_0.23.png,"('|~------=-                               |', '|-------.-----.--------------------------|')"
sample_087,0.39,0.1_0.5/sample_086_0.39.png,"('|----~--.-------                         |', '|----------------- ----------------~-----|')"
sample_088,0.36,0.1_0.5/sample_087_0.36.png,"('|-~------=-----                          |', '|--------------.~------------------------|')"
sample_089,0.45,0.1_0.5/sample_088_0.45.png,"('|---------.-- -----                      |', '|------~---------------------~-----------|')"
sample_090,0.29,0.1_0.5/sample_089_0.29.png,"('|----  -----                             |', '|----~---------------------------------~-|')"
sample_091,0.15,0.1_0.5/sample_090_0.15.png,"('|-----~                                  |', '|------------- ------.-------------------|')"
sample_092,0.39,0.1_0.5/sample_091_0.39.png,"('|.--------.-----                         |', '|---------------------~-----.------------|')"
sample_093,0.4,0.1_0.5/sample_092_0.4.png,"('|------------ ---                        |', '|---------------------------.-~----------|')"
sample_094,0.32,0.1_0.5/sample_093_0.32.png,"('|-=-=--------                            |', '|-------------------------------- ----~--|')"
sample_095,0.41,0.1_0.5/sample_094_0.41.png,"('|---- ----- -----                        |', '|---------------------~------------=-----|')"
sample_096,0.3,0.1_0.5/sample_095_0.3.png,"('|---- ------                             |', '|---~------------------------.-----------|')"
sample_097,0.31,0.1_0.5/sample_096_0.31.png,"('|-----~-----=                            |', '|---- ----=------------------------------|')"
sample_098,0.27,0.1_0.5/sample_097_0.27.png,"('|----=----~                              |', '|----------=--------------------------~--|')"
sample_099,0.11,0.1_0.5/sample_098_0.11.png,"('|.---                                    |', '|----------=---------------------------=-|')"
sample_100,0.14,0.1_0.5/sample_099_0.14.png,"('|-~.--                                   |', '|----- --------------------------------.-|')"
