"","TE_datasets[j]","Species","Subj_idx","Session","Block","Trial","Stim","Procedure","Duration_Set","Target_Duration","Response"
"21","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,21,"Audiovisual","TE",16,16,20.1
"22","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,22,"Audiovisual","TE",64,64,39.7
"23","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,23,"Audiovisual","TE",16,16,16.8
"24","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,24,"Audiovisual","TE",12,12,18
"25","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,25,"Audiovisual","TE",2,2,3.6
"26","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,26,"Audiovisual","TE",1,1,1
"27","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,27,"Audiovisual","TE",4,4,6
"28","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,28,"Audiovisual","TE",8,8,8.4
"29","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,29,"Audiovisual","TE",32,32,24.8
"30","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,30,"Audiovisual","TE",32,32,35.3
"31","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,31,"Audiovisual","TE",32,32,20.4
"32","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,32,"Audiovisual","TE",8,8,10
"33","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,33,"Audiovisual","TE",1.5,1.5,2
"34","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,34,"Audiovisual","TE",12,12,9.9
"35","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,35,"Audiovisual","TE",32,32,21
"36","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,36,"Audiovisual","TE",24,24,13.1
"37","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,37,"Audiovisual","TE",4,4,9.2
"38","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,38,"Audiovisual","TE",1,1,1.1
"39","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,39,"Audiovisual","TE",16,16,16.8
"40","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,40,"Audiovisual","TE",24,24,20
"41","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,41,"Audiovisual","TE",32,32,20.4
"42","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,42,"Audiovisual","TE",48,48,30
"43","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,43,"Audiovisual","TE",64,64,25.3
"44","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,44,"Audiovisual","TE",12,12,15.1
"45","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,45,"Audiovisual","TE",6,6,8.3
"46","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,46,"Audiovisual","TE",2,2,3.3
"47","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,47,"Audiovisual","TE",4,4,5
"48","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,48,"Audiovisual","TE",3,3,4.3
"49","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,49,"Audiovisual","TE",4,4,5
"50","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,50,"Audiovisual","TE",64,64,30
"51","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,51,"Audiovisual","TE",1,1,2
"52","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,52,"Audiovisual","TE",24,24,20
"53","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,53,"Audiovisual","TE",64,64,39
"54","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,54,"Audiovisual","TE",1,1,2.6
"55","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,55,"Audiovisual","TE",2,2,3.4
"56","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,56,"Audiovisual","TE",24,24,16.2
"57","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,57,"Audiovisual","TE",4,4,3
"58","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,58,"Audiovisual","TE",6,6,5.5
"59","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,59,"Audiovisual","TE",32,32,15.8
"60","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,60,"Audiovisual","TE",4,4,6.2
"61","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,61,"Audiovisual","TE",24,24,20.1
"62","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,62,"Audiovisual","TE",3,3,3.2
"63","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,63,"Audiovisual","TE",24,24,16.5
"64","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,64,"Audiovisual","TE",48,48,30.1
"65","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,65,"Audiovisual","TE",6,6,9.3
"66","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,66,"Audiovisual","TE",3,3,5.2
"67","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,67,"Audiovisual","TE",64,64,60.4
"68","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,68,"Audiovisual","TE",6,6,7.1
"69","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,69,"Audiovisual","TE",8,8,10.1
"70","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,70,"Audiovisual","TE",16,16,15
"71","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,71,"Audiovisual","TE",32,32,29.9
"72","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,72,"Audiovisual","TE",8,8,8.1
"73","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,73,"Audiovisual","TE",6,6,5.4
"74","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,74,"Audiovisual","TE",64,64,36.3
"75","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,75,"Audiovisual","TE",2,2,3
"76","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,76,"Audiovisual","TE",3,3,5
"77","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,77,"Audiovisual","TE",1,1,2.1
"78","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,78,"Audiovisual","TE",2,2,4
"79","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,79,"Audiovisual","TE",12,12,13.3
"80","dataset_TE_Suarez-Pinilla_2019.csv","Human",1,1,1,80,"Audiovisual","TE",3,3,5
"81","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,1,"Audiovisual","TE",48,48,46
"82","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,2,"Audiovisual","TE",32,32,18
"83","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,3,"Audiovisual","TE",16,16,15
"84","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,4,"Audiovisual","TE",64,64,75
"85","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,5,"Audiovisual","TE",8,8,20.8
"86","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,6,"Audiovisual","TE",1,1,1
"87","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,7,"Audiovisual","TE",32,32,21.8
"88","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,8,"Audiovisual","TE",8,8,9
"89","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,9,"Audiovisual","TE",1,1,0.9
"90","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,10,"Audiovisual","TE",32,32,8.1
"91","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,11,"Audiovisual","TE",4,4,4
"92","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,12,"Audiovisual","TE",24,24,10
"93","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,13,"Audiovisual","TE",3,3,2
"94","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,14,"Audiovisual","TE",12,12,5
"95","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,15,"Audiovisual","TE",8,8,3
"96","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,16,"Audiovisual","TE",16,16,10
"97","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,17,"Audiovisual","TE",48,48,20.5
"98","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,18,"Audiovisual","TE",16,16,5.4
"99","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,19,"Audiovisual","TE",8,8,8.4
"100","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,20,"Audiovisual","TE",48,48,20
"101","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,21,"Audiovisual","TE",8,8,4
"102","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,22,"Audiovisual","TE",6,6,2
"103","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,23,"Audiovisual","TE",16,16,6
"104","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,24,"Audiovisual","TE",64,64,30
"105","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,25,"Audiovisual","TE",12,12,20
"106","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,26,"Audiovisual","TE",6,6,2
"107","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,27,"Audiovisual","TE",32,32,10
"108","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,28,"Audiovisual","TE",64,64,58
"109","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,29,"Audiovisual","TE",16,16,5
"110","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,30,"Audiovisual","TE",48,48,75.1
"111","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,31,"Audiovisual","TE",1.5,1.5,1
"112","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,32,"Audiovisual","TE",24,24,9.9
"113","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,33,"Audiovisual","TE",8,8,5
"114","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,34,"Audiovisual","TE",3,3,2
"115","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,35,"Audiovisual","TE",1,1,1
"116","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,36,"Audiovisual","TE",64,64,30
"117","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,37,"Audiovisual","TE",32,32,20.4
"118","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,38,"Audiovisual","TE",64,64,35
"119","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,39,"Audiovisual","TE",8,8,4.3
"120","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,40,"Audiovisual","TE",12,12,9.8
"121","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,41,"Audiovisual","TE",6,6,1
"122","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,42,"Audiovisual","TE",64,64,45
"123","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,43,"Audiovisual","TE",48,48,29.9
"124","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,44,"Audiovisual","TE",48,48,70
"125","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,45,"Audiovisual","TE",24,24,21
"126","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,46,"Audiovisual","TE",1.5,1.5,1
"127","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,47,"Audiovisual","TE",4,4,2
"128","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,48,"Audiovisual","TE",16,16,7.7
"129","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,49,"Audiovisual","TE",8,8,3
"130","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,50,"Audiovisual","TE",2,2,0.9
"131","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,51,"Audiovisual","TE",4,4,3.3
"132","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,52,"Audiovisual","TE",1,1,0.4
"133","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,53,"Audiovisual","TE",1.5,1.5,0.7
"134","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,54,"Audiovisual","TE",64,64,60.1
"135","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,55,"Audiovisual","TE",48,48,19.2
"136","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,56,"Audiovisual","TE",24,24,30.2
"137","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,57,"Audiovisual","TE",1.5,1.5,0.9
"138","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,58,"Audiovisual","TE",1,1,1
"139","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,59,"Audiovisual","TE",8,8,6
"140","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,60,"Audiovisual","TE",3,3,0.9
"141","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,61,"Audiovisual","TE",16,16,15
"142","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,62,"Audiovisual","TE",8,8,4.5
"143","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,63,"Audiovisual","TE",48,48,10
"144","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,64,"Audiovisual","TE",12,12,9
"145","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,65,"Audiovisual","TE",2,2,2
"146","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,66,"Audiovisual","TE",4,4,1
"147","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,67,"Audiovisual","TE",2,2,0.4
"148","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,68,"Audiovisual","TE",12,12,4
"149","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,69,"Audiovisual","TE",1.5,1.5,0.3
"150","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,70,"Audiovisual","TE",6,6,2.9
"151","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,71,"Audiovisual","TE",8,8,1
"152","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,72,"Audiovisual","TE",6,6,3.9
"153","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,73,"Audiovisual","TE",16,16,7.9
"154","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,74,"Audiovisual","TE",48,48,15
"155","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,75,"Audiovisual","TE",2,2,0.4
"156","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,76,"Audiovisual","TE",64,64,20
"157","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,77,"Audiovisual","TE",2,2,1
"158","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,78,"Audiovisual","TE",64,64,10
"159","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,79,"Audiovisual","TE",12,12,4
"160","dataset_TE_Suarez-Pinilla_2019.csv","Human",2,2,1,80,"Audiovisual","TE",3,3,3
"161","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,1,"Audiovisual","TE",4,4,4.3
"162","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,2,"Audiovisual","TE",1.5,1.5,1
"163","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,3,"Audiovisual","TE",12,12,8.3
"164","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,4,"Audiovisual","TE",2,2,2
"165","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,5,"Audiovisual","TE",1,1,1.1
"166","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,6,"Audiovisual","TE",24,24,10
"167","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,7,"Audiovisual","TE",32,32,20.2
"168","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,8,"Audiovisual","TE",64,64,60.6
"169","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,9,"Audiovisual","TE",4,4,2.5
"170","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,10,"Audiovisual","TE",6,6,3.6
"171","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,11,"Audiovisual","TE",1,1,1.4
"172","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,12,"Audiovisual","TE",4,4,2
"173","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,13,"Audiovisual","TE",24,24,8.3
"174","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,14,"Audiovisual","TE",48,48,50.3
"175","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,15,"Audiovisual","TE",24,24,12.1
"176","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,16,"Audiovisual","TE",2,2,2
"177","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,17,"Audiovisual","TE",32,32,16
"178","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,18,"Audiovisual","TE",64,64,57
"179","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,19,"Audiovisual","TE",6,6,4
"180","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,20,"Audiovisual","TE",1.5,1.5,1
"181","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,21,"Audiovisual","TE",1.5,1.5,1
"182","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,22,"Audiovisual","TE",48,48,14.4
"183","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,23,"Audiovisual","TE",48,48,15.7
"184","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,24,"Audiovisual","TE",8,8,5
"185","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,25,"Audiovisual","TE",6,6,2.1
"186","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,26,"Audiovisual","TE",2,2,1
"187","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,27,"Audiovisual","TE",24,24,8.5
"188","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,28,"Audiovisual","TE",12,12,4.9
"189","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,29,"Audiovisual","TE",64,64,33.1
"190","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,30,"Audiovisual","TE",64,64,41
"191","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,31,"Audiovisual","TE",64,64,28.9
"192","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,32,"Audiovisual","TE",16,16,5.5
"193","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,33,"Audiovisual","TE",48,48,16
"194","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,34,"Audiovisual","TE",32,32,21
"195","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,35,"Audiovisual","TE",32,32,14.6
"196","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,36,"Audiovisual","TE",32,32,14.7
"197","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,37,"Audiovisual","TE",1.5,1.5,1.2
"198","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,38,"Audiovisual","TE",1,1,0.7
"199","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,39,"Audiovisual","TE",6,6,2.5
"200","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,40,"Audiovisual","TE",2,2,1.4
"201","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,41,"Audiovisual","TE",6,6,2
"202","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,42,"Audiovisual","TE",1,1,1
"203","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,43,"Audiovisual","TE",8,8,2.5
"204","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,44,"Audiovisual","TE",2,2,1.4
"205","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,45,"Audiovisual","TE",1,1,0.8
"206","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,46,"Audiovisual","TE",24,24,9.6
"207","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,47,"Audiovisual","TE",2,2,2.2
"208","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,48,"Audiovisual","TE",3,3,2
"209","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,49,"Audiovisual","TE",16,16,5.2
"210","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,50,"Audiovisual","TE",64,64,24.6
"211","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,51,"Audiovisual","TE",3,3,2.1
"212","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,52,"Audiovisual","TE",12,12,4.5
"213","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,53,"Audiovisual","TE",12,12,4.9
"214","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,54,"Audiovisual","TE",1.5,1.5,1.1
"215","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,55,"Audiovisual","TE",16,16,3.5
"216","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,56,"Audiovisual","TE",48,48,15
"217","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,57,"Audiovisual","TE",3,3,1.9
"218","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,58,"Audiovisual","TE",1,1,0.9
"219","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,59,"Audiovisual","TE",48,48,20.5
"220","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,60,"Audiovisual","TE",2,2,1.7
"221","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,61,"Audiovisual","TE",3,3,2.1
"222","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,62,"Audiovisual","TE",4,4,1
"223","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,63,"Audiovisual","TE",1.5,1.5,0.6
"224","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,64,"Audiovisual","TE",6,6,2
"225","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,65,"Audiovisual","TE",3,3,2.1
"226","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,66,"Audiovisual","TE",64,64,15.6
"227","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,67,"Audiovisual","TE",8,8,3.2
"228","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,68,"Audiovisual","TE",6,6,3
"229","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,69,"Audiovisual","TE",32,32,11.5
"230","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,70,"Audiovisual","TE",8,8,3.2
"231","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,71,"Audiovisual","TE",64,64,44.6
"232","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,72,"Audiovisual","TE",6,6,4.2
"233","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,73,"Audiovisual","TE",6,6,3.1
"234","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,74,"Audiovisual","TE",64,64,40.5
"235","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,75,"Audiovisual","TE",6,6,3.3
"236","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,76,"Audiovisual","TE",24,24,15.6
"237","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,77,"Audiovisual","TE",3,3,2.8
"238","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,78,"Audiovisual","TE",48,48,15.4
"239","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,79,"Audiovisual","TE",8,8,2.9
"240","dataset_TE_Suarez-Pinilla_2019.csv","Human",3,3,1,80,"Audiovisual","TE",64,64,59.4
"241","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,1,"Audiovisual","TE",16,16,10
"242","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,2,"Audiovisual","TE",64,64,41.4
"243","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,3,"Audiovisual","TE",4,4,3.5
"244","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,4,"Audiovisual","TE",6,6,4
"245","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,5,"Audiovisual","TE",12,12,8.6
"246","dataset_TE_Suarez-Pinilla_2019.csv","Human",4,4,1,6,"Audiovisual","TE",32,32,20.3
