llm_model,model_pretty,ablation,ablation_pretty,modality,nrmse,sqrt_bias_squared,sqrt_variance,n_sqrt_bias_squared,n_sqrt_variance
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,image,0.18770788600204047,0.0463403844293334,0.37865161029255573,0.02280206256611878,0.18631778339730706
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text,0.010174398609487973,0.0024675941791605935,0.020521444902757917,0.0012146673199910799,0.010101632064498118
GPT-5 Mini,GPT 5 Mini,base_6,Compressed Numerical Cue,text_image,0.026527629155247825,0.0012399544666666796,0.05391411992800217,0.0006099395952034754,0.026520616174752754
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,image,0.19992466584618757,0.10120507552041985,0.3910025218100044,0.05009655075503044,0.19354639654656047
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text,0.022008133652511547,0.002767356582761012,0.04435090809357812,0.001370572548994498,0.021965415492422487
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,0.030653403601373072,0.004242270915666688,0.061854211054876145,0.002097436332091105,0.030581561653739917
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,image,0.20086000185379466,0.0589553333333334,0.4041348614075367,0.028994632217591413,0.198756261907073
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text,0.01709739526847042,0.00402068581482735,0.03460077233795624,0.0019734757223529584,0.016983118634090685
GPT-5 Mini,GPT 5 Mini,base_8,Reverse Order,text_image,0.019613850167446524,0.001591832913333362,0.03988637589301981,0.0007821502185430197,0.019598248886741776
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,image,0.27830424277545734,0.0029566666666666266,0.5653662987735374,0.0014554132915792063,0.2783004371519588
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text,0.4005343765864319,0.19819,0.7883461111085663,0.09765550890674499,0.38844715008305347
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base,Base,text_image,0.2621563480051789,0.02635666666666663,0.5335790598610689,0.012933703446722495,0.26183710606895405
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,image,0.24987820831605484,0.12042333333333331,0.49452195211357614,0.059121316199292305,0.2427834198665654
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text,0.4207633596159054,0.2390233333333333,0.8197210418523826,0.11778559680732592,0.403941032800588
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_1,Verbal Cue,text_image,0.3007121036107073,0.09168999999999998,0.6034498522937372,0.045172640763995235,0.2972998516386845
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,image,0.2684613876297512,0.15835666666666662,0.5213174334851611,0.0780280235212649,0.25687184390948037
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text,0.28482510187373555,0.006910000000000049,0.5789611549145589,0.0033991940098627832,0.2848048176163232
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_2,Numerical Cue,text_image,0.2735126061640458,0.10702333333333329,0.5457306537620509,0.05263598482285545,0.2684000723404831
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,image,0.2830619694574113,0.1843766666666667,0.5448735741333844,0.09073000477608165,0.26812710565409204
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_3,Noise,text_image,0.2794738489372474,0.012910000000000062,0.5692685179830926,0.006336341868525238,0.2794020096769609
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,image,0.36513686374950804,0.026661999999999964,0.740741220460515,0.013134113059422319,0.36490056774821433
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text,0.48730795701580787,0.5344233333333334,0.8371945778146334,0.2622042313617733,0.41075295011344976
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_4,Short context,text_image,0.33828495931736335,0.23062333333333318,0.6461339735603514,0.11371684421387775,0.31859879636054317
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,image,0.290176130718618,0.05171000000000003,0.5876403006091396,0.02543605127851859,0.28905915334786597
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_5,Gradual noise,text_image,0.31068938247777333,0.02704333333333341,0.6321247543975969,0.013279654031904667,0.3104054496512796
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,image,0.5305392121091405,0.7603566666666666,0.764455736535623,0.3741380331520105,0.37615500493085646
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text,0.58934299963568,0.8455566666666666,0.8476080051860975,0.4162232424093216,0.41723300887855486
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_6,Compressed Numerical Cue,text_image,0.5735680232711837,0.8345566666666666,0.8143121619638393,0.41052245798140574,0.40056408827067613
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,image,0.24437867525794857,0.08717333333333324,0.48593671599865296,0.04315083305221566,0.24053885866472735
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text,0.40181354322873547,0.1849600000000001,0.7899469900358295,0.09160406007710889,0.39123243692135284
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,0.25255167887387836,0.03222666666666674,0.5097929749308918,0.015933301496430626,0.2520485675528397
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,image,0.3707657532977636,0.10402333333333326,0.7466737929793855,0.05115937984770241,0.36721922835284193
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text,0.4125631050948671,0.061823333333333286,0.8382639853424588,0.03034478520016035,0.41144563395019085
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_8,Reverse Order,text_image,0.2611408001515947,0.04391000000000007,0.529657007474334,0.021575264469375674,0.2602480076136831
gemma-3-4b-it,Gemma 3 4B it,base,Base,image,3.0097201634886788,5.111643333333334,3.3548435730729516,2.51619627366821,1.651415082554515
gemma-3-4b-it,Gemma 3 4B it,base,Base,text,1.096699110617806,1.7799766666666665,1.336247409647214,0.8770600293933342,0.6584182895929078
gemma-3-4b-it,Gemma 3 4B it,base,Base,text_image,3.756235775625734,7.338310000000002,2.177509734589798,3.6010443407152515,1.0685442706286543
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,image,2.648724904109031,4.551643333333333,2.8965791202362987,2.2346096664799253,1.4220630281818987
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text,1.1057193331950324,1.6781599999999999,1.4895043279784945,0.8269614283327238,0.7339959399418826
gemma-3-4b-it,Gemma 3 4B it,base_1,Verbal Cue,text_image,3.345890498750313,6.431643333333333,2.1810194099217814,3.1686586739972906,1.0745163736906698
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,image,2.434579502768904,3.5916433333333333,3.3930812643459567,1.769731811059387,1.6718931401937585
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,text,1.0820454878795078,1.66431,1.4381930761317598,0.8187138324970605,0.7074815180048007
gemma-3-4b-it,Gemma 3 4B it,base_2,Numerical Cue,text_image,2.9744892188549747,5.46831,2.583654913276926,2.6894124225247027,1.2706875834186337
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,image,3.0566731507350373,5.011643333333334,3.6698096317278126,2.4661820380526334,1.805878430462865
gemma-3-4b-it,Gemma 3 4B it,base_3,Noise,text_image,3.9210363582683243,7.664976666666668,2.2519112622663937,3.762038154474732,1.1052579097832689
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,image,3.349961979788978,6.138310000000001,2.9267789993267344,3.023826327124099,1.4417765462868615
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text,0.9750242247696518,1.2251766666666668,1.5646921089431267,0.6011086831894432,0.7676852153597296
gemma-3-4b-it,Gemma 3 4B it,base_4,Short context,text_image,3.4758566841155902,6.606643333333333,2.458372056149263,3.257634948964348,1.2121857233102007
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,image,3.136850150968649,5.3837550335570485,3.4178535741633183,2.6482589267944228,1.6812357140763134
gemma-3-4b-it,Gemma 3 4B it,base_5,Gradual noise,text_image,3.657213925892165,7.084976666666668,2.296031924819184,3.4790843938413745,1.1274686160904779
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,image,2.571730878591763,4.131643333333334,3.2009113806001497,2.0329997462843536,1.5750275373815272
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,text,0.8741253721207778,1.0613100000000002,1.423737887007296,0.522427303592628,0.7008315622503202
gemma-3-4b-it,Gemma 3 4B it,base_6,Compressed Numerical Cue,text_image,2.835251996104098,5.1016433333333335,2.6823276458682095,2.5095230133497455,1.3194499334496501
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,image,2.7816647026545276,4.424026666666667,3.4651113961827487,2.1898948773923643,1.7152314549251897
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text,1.5263214886667542,2.5884766666666668,1.6725679880916318,1.2819797365999557,0.8283629891013998
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,3.7533222938659794,7.324026666666666,1.9972335002753738,3.621098212077913,0.9874593561851135
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,image,2.7974525316050536,4.731643333333333,3.1569259836834243,2.327054237131243,1.552597579552748
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,text,1.3812601493011705,2.2969100000000005,1.6258906130384867,1.1273937656887967,0.7980369021126319
gemma-3-4b-it,Gemma 3 4B it,base_8,Reverse Order,text_image,3.2898528331009453,6.531643333333333,1.472247827797873,3.209335739838327,0.7233918526350015
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,image,0.3336618702892429,0.15707946390540545,0.6593810777348572,0.07732205398040576,0.32457902528223653
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text,0.6300002177053725,0.5689573826378552,1.145005511657136,0.2803462472766002,0.5641863663247668
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base,Base,text_image,0.33540558298138723,0.16675409654719828,0.6628453293786241,0.08182931705833807,0.32527045356879586
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,image,0.7348896171373891,0.34251764734502554,1.4571714690494597,0.16815756192755793,0.7153920489793817
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,text,0.7436693725316036,0.8407051369181365,1.2532766819807866,0.4142815469517092,0.6175879981807028
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_1,Verbal Cue,text_image,0.38204292445466403,0.1265604916201509,0.7650611639092492,0.06235218260302876,0.37692041792732683
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,image,0.49893661088117514,0.14194000000000007,1.0025864868355174,0.06993894157876743,0.4940104109514647
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,text,0.47124924164738946,0.34511000000000003,0.8936493728340363,0.16976785017999085,0.4396074667228752
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_2,Numerical Cue,text_image,0.36611028599423856,0.1366070422535212,0.7317603153392073,0.06718578069659124,0.3598927790092109
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,image,0.5466953988812996,0.18025706608947004,1.0962440434009384,0.08870278849756881,0.5394512716369652
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_3,Noise,text_image,0.47382364829158896,0.32412106658155526,0.9093570024989938,0.15908147828441171,0.4463204375190516
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,image,0.48421620973117746,0.3891077530196558,0.902654575731794,0.19168048985289707,0.4446615877003332
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text,0.7485198489903389,1.0270666702319875,1.1281307496508726,0.5039099343693966,0.553495024707856
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_4,Short context,text_image,0.37595524321573176,0.23009817150067824,0.7269067774796344,0.11345789493303989,0.35842663263039387
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,image,0.46744344616473515,0.037249866724260214,0.9495547503010733,0.01832313904692063,0.46708418720593703
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_5,Gradual noise,text_image,0.33078402953785224,0.23940695651566085,0.6296463501230755,0.11756100907281691,0.309188426922936
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,image,0.46447923436957433,0.0280083532674307,0.9435404971559617,0.013781677287373745,0.4642747295855038
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,text,0.49162091594357815,0.4533566666666667,0.8899006272924834,0.2231637324932475,0.43805145073710816
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Compressed Numerical Cue,text_image,0.3521517624902596,0.2074127516778524,0.6851892418052963,0.10202733503474369,0.3370478997571477
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,image,0.6248275179194893,0.6572629894017035,1.077658666517082,0.3253454289584712,0.5334414485257571
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text,0.5838616326072517,0.08436433641872915,1.175866775616647,0.0417826326863467,0.582364677531702
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,0.32251306788726347,0.2535972744655018,0.6010011875988988,0.12538193523164767,0.29714314610238196
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,image,0.6546954147358073,0.45221142744200205,1.2520424855488061,0.2224006426889203,0.6157629740473568
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,text,0.6852780623753568,0.6595942041244596,1.2305275772656294,0.3237490339692801,0.6039806170539592
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_8,Reverse Order,text_image,0.4326187312379421,0.19457666850162533,0.8586969398700692,0.09560562702101114,0.42192242260852414
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,image,0.5265351734114702,0.35438551724137923,1.0092428325391412,0.17444556667518005,0.4967977788867643
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,text,0.8617950262348142,1.2431030045887987,1.2303187153856177,0.6125226123246525,0.6062233224101884
meta-llama_llama-4-maverick,Llama 4 Maverick,base,Base,text_image,0.4134282370638975,0.26901851851851843,0.798390964302131,0.1320123589298778,0.39178520172606235
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,image,0.5155403834961636,0.34059794520547937,0.993325651223877,0.167215092440466,0.48766894495702484
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,text,0.8899638053331371,1.4115467213114752,1.1265933434499085,0.6955800953509265,0.5551611529588807
meta-llama_llama-4-maverick,Llama 4 Maverick,base_1,Verbal Cue,text_image,0.401948897446453,0.2874384057971014,0.7635521551733858,0.14161142814754007,0.3761769790622937
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,image,0.4728431195956188,0.3355472222222222,0.8990514831958892,0.16533618128728814,0.4429949919652069
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,text,0.5803097905940976,0.581150442477876,1.0265937908196023,0.28588178044860896,0.5050060006246446
meta-llama_llama-4-maverick,Llama 4 Maverick,base_2,Numerical Cue,text_image,0.38223800369223115,0.22529779411764697,0.7438224398204374,0.1108054748665333,0.3658251470391616
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,image,0.4566846419788238,0.17202965517241373,0.9119664614314185,0.08465415780424551,0.4487700254983396
meta-llama_llama-4-maverick,Llama 4 Maverick,base_3,Noise,text_image,0.43645324974373145,0.11487037037037026,0.8818025964591423,0.056379390955133585,0.4327964919998684
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,image,0.5261214810295218,0.05534645669291349,1.0665815733295718,0.027264519527535364,0.5254145589680875
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text,0.9232375927794771,1.4538891099636642,1.1946317487262341,0.7133219168885001,0.5861224237373617
meta-llama_llama-4-maverick,Llama 4 Maverick,base_4,Short context,text_image,0.45461449785887137,0.11401262135922322,0.914903892207604,0.056217882701328104,0.4511251393217334
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,image,0.47707644524783327,0.2988361702127658,0.9226818002855808,0.1469969473875076,0.45386543387777745
meta-llama_llama-4-maverick,Llama 4 Maverick,base_5,Gradual noise,text_image,0.42191345294347266,0.12494444444444432,0.8500719073433264,0.06135408586579868,0.4174286021851595
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,image,0.4964512373494444,0.4430296551724137,0.9064598409899179,0.2179953843777968,0.4460289715430725
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,text,0.6187138066197508,0.7769617391304348,0.9880120799809482,0.3824575537482468,0.48634657815472443
meta-llama_llama-4-maverick,Llama 4 Maverick,base_6,Compressed Numerical Cue,text_image,0.489787050873612,0.47124117647058816,0.8771201467495259,0.23180581234758005,0.4314596395554846
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,image,0.8089587264402278,0.10421832669322714,1.6309323625026744,0.051588111228059653,0.8073121378151803
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text,0.6686557326623278,0.9385696161544751,0.9704920453619176,0.46483989784149826,0.480649933108182
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,0.5197216953694743,0.0021505882352942187,1.0511859571640356,0.0010632800190614213,0.5197206077050647
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,image,0.48012687442440516,0.1432853146853146,0.965678733439806,0.07046868818454438,0.47492734131664605
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,text,0.741639166824782,1.0435393727645377,1.0927535066791991,0.5122010801927532,0.5363568841899333
meta-llama_llama-4-maverick,Llama 4 Maverick,base_8,Reverse Order,text_image,0.41400337313675245,0.17187703703703694,0.8248633095238437,0.08445211865831802,0.4052982020965927
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,image,1.8915040086678268,1.758176666666667,3.416761837733044,0.8654589705561867,1.6818942252978584
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,text,0.7910093743632971,1.226801280733811,1.0354082808078473,0.6044901528710168,0.5101837761165964
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base,Base,text_image,1.910150653189673,2.2601233333333335,3.1692046736979433,1.1090842903636517,1.5551873053589043
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,image,2.25198846732006,2.7699766666666665,3.6562526125058095,1.359908099548773,1.795021453276867
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,text,0.7991411614893984,1.2806704666666664,0.9948906045982052,0.63108707056431,0.49026085439608796
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_1,Verbal Cue,text_image,1.9726207524734,2.2297100000000003,3.325675210073888,1.0985046225094106,1.6384505569025212
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,image,0.8856612167065974,0.1516433333333334,1.7910275076397408,0.074720122804069,0.8825036509988813
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,text,0.4538935781649736,0.2763566666666666,0.8803323689316943,0.13594644369304953,0.4330565144950662
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_2,Numerical Cue,text_image,0.9062529374879197,0.8186821999999998,1.6508041616601568,0.40264251272876866,0.8118949400316192
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,image,2.797407606973899,4.1205766666666666,3.9162663572747736,2.027696602861229,1.9271574420115418
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_3,Noise,text_image,1.9415205064864829,2.4361033333333335,3.116635251087657,1.1956610028701644,1.5296720705180709
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,image,3.2760079289989172,5.392510000000001,3.891843561462871,2.6564337264295834,1.9171822573639723
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text,0.9930770661196197,1.5583234700962245,1.2917223278277041,0.7645605687555904,0.6337579947873477
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_4,Short context,text_image,2.960770827831828,4.675284133333334,3.7678640476744354,2.305311217913256,1.8578762293283342
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,image,1.9743368477560805,2.2049100000000004,3.353840746403045,1.0845910621643475,1.649747925072382
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_5,Gradual noise,text_image,1.921606621785411,2.2048686666666666,3.232971487102573,1.0827028132301313,1.5875536611759296
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,image,0.6525986786307019,0.5263566666666665,1.2173490432584329,0.2589969374062809,0.599003857887998
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,text,0.6175393395654941,0.6875566666666666,1.0493384187773849,0.33844812112747635,0.5165343214310814
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_6,Compressed Numerical Cue,text_image,0.6464417121151345,0.49508999999999986,1.2173342593141785,0.24353716390979738,0.5988126058769293
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,image,1.6787133242420567,1.6216266666666668,2.978505776832105,0.8027058148480544,1.4743614888476089
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text,0.6973900770115845,0.9124833333333333,1.0724591875943603,0.45192029674538925,0.5311506047288124
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,1.7018139089439135,2.08211,2.7409436440576442,1.0294234498986274,1.3551597475846788
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,image,2.446224465770649,3.554243333333333,3.4795943443341524,1.7480009430047498,1.711288064642946
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,text,0.6668202100416735,0.9584748936650946,0.9628065917102863,0.47044882894291024,0.4725749589919741
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_8,Reverse Order,text_image,2.277179830932087,3.8438566666666665,2.5891174931088434,1.8886864988773857,1.272167949353454
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,image,0.5520613984151234,0.1813266666666668,1.106755086347271,0.08925769135888027,0.544797992060676
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,text,1.447316881563685,2.538463368021516,1.477818472687599,1.2507943490855797,0.7281755639643579
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base,Base,text_image,0.6159749792428657,0.21599286172316703,1.236528504499361,0.105991689141383,0.6067873901839138
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,image,0.618491615037497,0.13719066666666677,1.252304162911799,0.06735316619363677,0.6148133284789649
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,text,1.217439920746455,2.170021453826533,1.1809659101360919,1.069340254188542,0.5819547932607128
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_1,Verbal Cue,text_image,0.7142865383663426,0.47396894387344074,1.3701746719054602,0.2335088759394172,0.675039897894104
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,image,0.3843727909003059,0.1622233333333333,0.7630244188680259,0.07993326921736583,0.37596956639695506
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,text,0.6027555311345029,0.1453566666666666,1.2166501194354202,0.07150441543081779,0.5984992471901144
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_2,Numerical Cue,text_image,0.39340187894013345,0.02857731713680983,0.7993828222785027,0.014054834438823773,0.3931507344295883
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,image,0.9554168270229435,0.5355009676097635,1.8662377985819159,0.2635149350902872,0.918357878140625
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_3,Noise,text_image,1.0623868581645692,1.1801510979333336,1.8145463720187878,0.5792285680109198,0.8905953640126384
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,image,0.6266571586952464,0.34122753935494593,1.2254825943532055,0.1680939569753336,0.603691656536989
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_4,Short context,text,1.4075574867957472,2.452910745941093,1.4878445431865388,1.203472110259379,0.7299814781640679
