sample_id,target_percentage,actual_percentage,line_a_length,line_b_length,line_a,line_b
sample_056,38.05,38.0,19,50,-------------------,--------------------------------------------------
sample_057,17.21,18.0,9,50,---------,--------------------------------------------------
sample_058,19.9,20.0,10,50,----------,--------------------------------------------------
sample_059,16.13,16.0,8,50,--------,--------------------------------------------------
sample_060,23.13,24.0,12,50,------------,--------------------------------------------------
sample_061,24.72,24.0,12,50,------------,--------------------------------------------------
sample_062,21.78,22.0,11,50,-----------,--------------------------------------------------
sample_063,35.72,36.0,18,50,------------------,--------------------------------------------------
sample_064,23.92,24.0,12,50,------------,--------------------------------------------------
sample_065,22.02,22.0,11,50,-----------,--------------------------------------------------
sample_066,28.57,28.0,14,50,--------------,--------------------------------------------------
sample_067,18.52,18.0,9,50,---------,--------------------------------------------------
sample_068,35.05,36.0,18,50,------------------,--------------------------------------------------
sample_069,16.86,16.0,8,50,--------,--------------------------------------------------
sample_070,39.67,40.0,20,50,--------------------,--------------------------------------------------
sample_071,34.31,34.0,17,50,-----------------,--------------------------------------------------
sample_072,19.97,20.0,10,50,----------,--------------------------------------------------
sample_073,15.14,16.0,8,50,--------,--------------------------------------------------
sample_074,35.39,36.0,18,50,------------------,--------------------------------------------------
sample_075,32.67,32.0,16,50,----------------,--------------------------------------------------
sample_076,33.23,34.0,17,50,-----------------,--------------------------------------------------
sample_077,34.28,34.0,17,50,-----------------,--------------------------------------------------
sample_078,16.85,16.0,8,50,--------,--------------------------------------------------
sample_079,23.96,24.0,12,50,------------,--------------------------------------------------
sample_080,17.9,18.0,9,50,---------,--------------------------------------------------
sample_081,36.58,36.0,18,50,------------------,--------------------------------------------------
sample_082,30.58,30.0,15,50,---------------,--------------------------------------------------
sample_083,23.27,24.0,12,50,------------,--------------------------------------------------
sample_084,16.59,16.0,8,50,--------,--------------------------------------------------
sample_085,22.77,22.0,11,50,-----------,--------------------------------------------------
sample_086,23.13,24.0,12,50,------------,--------------------------------------------------
sample_087,33.24,34.0,17,50,-----------------,--------------------------------------------------
sample_088,30.94,30.0,15,50,---------------,--------------------------------------------------
sample_089,37.18,38.0,19,50,-------------------,--------------------------------------------------
sample_090,26.81,26.0,13,50,-------------,--------------------------------------------------
sample_091,17.99,18.0,9,50,---------,--------------------------------------------------
sample_092,32.83,32.0,16,50,----------------,--------------------------------------------------
sample_093,34.02,34.0,17,50,-----------------,--------------------------------------------------
sample_094,29.03,30.0,15,50,---------------,--------------------------------------------------
sample_095,34.27,34.0,17,50,-----------------,--------------------------------------------------
sample_096,27.34,28.0,14,50,--------------,--------------------------------------------------
sample_097,28.07,28.0,14,50,--------------,--------------------------------------------------
sample_098,25.69,26.0,13,50,-------------,--------------------------------------------------
sample_099,15.64,16.0,8,50,--------,--------------------------------------------------
sample_100,17.7,18.0,9,50,---------,--------------------------------------------------
